fish,group,w1,w2,w3,l1,l2,l3,ID
1,3,9.5,10.1,,13,13.4,,
2,3,10.2,10,,12,12,,
3,3,20.8,19.7,,17.5,17.5,,
4,3,11.2,13.5,,15.5,15.5,,
5,3,10.2,10.7,,14.5,14.3,,
6,3,11.4,9,,12.5,12.8,,
1,4,6,6.4,6.3,11,11.4,11.5,2019lepto27
2,4,7.6,7.9,6.9,12.5,12.3,12,2019lepto30
3,4,5.7,5.8,6.7,12,11.8,12,2019lepto26
4,4,6.5,6.6,6.9,12,12.3,12.5,2019lepto24
5,4,6.7,6.8,6.2,12.5,12.5,12.5,2019lepto29
1,5,6.7,5.9,5.6,14,12,11,2020lepto03
2,5,5.4,6.1,6.2,12.5,14,13,2020lepto04
3,5,4.2,3.6,3.9,11,10,11,2020lepto05
4,5,16.7,15,13.8,17,18,17.5,2019lepto03
5,5,20.5,18.6,18.9,20,18,19,2018lepto98
1,6,3.3,3.2,,9,9,,2020lepto01
2,6,4.9,3.5,,11,11,,2020lepto02
3,6,6.8,6.7,,14,13,,2020lepto06
4,6,4,4.4,,11,11,,2018lepto13
5,6,18.3,18.4,,18,17,,2018lepto15
